Date,Open,High,Low,Close,Adj Close,Volume
1/1/2019,22.9128,22.973101,22.3701,22.7621,22.7621,14601474
1/2/2019,22.8827,22.8827,22.0084,22.1591,22.1591,17611505
1/3/2019,21.556101,21.8878,21.0135,21.7672,21.7672,39317592
1/4/2019,21.7672,22.0385,21.4657,21.827499,21.827499,21164742
1/7/2019,22.068701,22.279699,21.948099,22.098801,22.098801,13701909
1/8/2019,22.0084,22.4907,21.857599,22.279699,22.279699,16086091
1/9/2019,22.3099,22.551001,21.948099,22.279699,22.279699,18790129
1/10/2019,22.3099,22.6716,22.189301,22.3701,22.3701,16847368
1/11/2019,22.34,22.4907,22.0385,22.249599,22.249599,13759947
1/14/2019,22.3099,22.3099,21.4657,21.676701,21.676701,17509665
1/15/2019,21.676701,21.978201,21.4958,21.857599,21.857599,15977432
1/16/2019,21.9179,22.279699,21.7672,21.948099,21.948099,14704005
1/17/2019,21.948099,22.400299,21.7069,22.279699,22.279699,24736662
1/18/2019,22.3099,22.3099,20.712,21.224501,21.224501,47866044
1/21/2019,21.224501,21.375299,19.5362,19.807501,19.807501,65723724
1/22/2019,19.7472,20.320101,19.656799,20.199499,20.199499,32159216
1/23/2019,20.320101,20.802401,20.078899,20.440599,20.440599,21144117
1/24/2019,20.772301,21.224501,20.0487,20.531099,20.531099,56361172
1/25/2019,20.3804,20.6215,19.4457,19.807501,19.807501,38758118
1/28/2019,19.777399,19.777399,17.154499,18.7222,18.7222,48905912
1/29/2019,18.7222,19.6266,18.1192,18.511101,18.511101,51126945
1/30/2019,18.631701,18.933201,18.2097,18.4207,18.4207,27358254
1/31/2019,18.5413,18.7523,17.8479,18.149401,18.149401,47673704
2/1/2019,18.27,18.933201,18.179501,18.631701,18.631701,28114499
2/4/2019,18.6619,18.691999,17.727301,18.1192,18.1192,30177019
2/5/2019,18.058901,18.481001,17.636801,18.360399,18.360399,36435470
2/6/2019,18.330299,18.330299,17.365499,18.0891,18.0891,43637485
2/7/2019,17.7876,19.8678,17.667,19.295,19.295,87846199
2/8/2019,19.295,19.295,17.908199,18.4207,18.4207,41510502
2/11/2019,18.511101,19.295,17.8479,18.782499,18.782499,36408754
2/12/2019,18.6619,18.6619,17.7876,17.938299,17.938299,31303004
2/14/2019,18.360399,19.2649,17.9685,19.084,19.084,31976928
2/15/2019,18.903099,18.903099,17.938299,18.0891,18.0891,40783778
2/18/2019,18.330299,18.631701,17.9685,18.481001,18.481001,24595646
2/19/2019,18.360399,18.812599,17.9986,18.27,18.27,32926668
2/20/2019,18.27,18.631701,18.058901,18.450899,18.450899,33316627
2/21/2019,18.4207,18.812599,18.239799,18.691999,18.691999,52091843
2/22/2019,18.812599,18.933201,18.179501,18.3001,18.3001,37953253
2/25/2019,18.27,18.691999,18.2097,18.3906,18.3906,37080649
2/26/2019,18.2097,18.330299,17.606701,17.9685,17.9685,35665348
2/27/2019,18.0891,18.4207,17.727301,17.817699,17.817699,28710372
